,0,1,2,3,4,5,6,7,8,9,train,mean
size_8_nwalks_1_walklen_70.emd,0.75,0.5,0.75,0.75,0.75,0.75,0.666666666667,1.0,1.0,1.0,0.794117647059,0.791666666667
size_8_nwalks_5_walklen_70.emd,1.0,0.5,0.5,0.75,1.0,0.5,1.0,1.0,1.0,0.5,0.823529411765,0.775
size_32_nwalks_10_walklen_70.emd,0.5,1.0,0.5,0.75,0.5,0.5,1.0,1.0,1.0,1.0,0.735294117647,0.775
size_32_nwalks_1_walklen_70.emd,0.75,0.5,0.75,0.75,1.0,0.5,0.666666666667,0.666666666667,1.0,1.0,0.735294117647,0.758333333333
size_8_nwalks_10_walklen_70.emd,0.75,0.5,0.5,0.75,1.0,0.5,1.0,1.0,1.0,0.5,0.764705882353,0.75
size_32_nwalks_5_walklen_70.emd,0.5,0.75,0.75,0.75,1.0,1.0,0.666666666667,0.666666666667,0.5,0.5,0.735294117647,0.708333333333
size_128_nwalks_1_walklen_70.emd,0.5,0.5,0.5,0.5,0.75,0.5,1.0,0.666666666667,0.5,1.0,0.617647058824,0.641666666667
size_128_nwalks_10_walklen_70.emd,0.5,0.5,0.75,0.75,0.5,0.5,1.0,0.666666666667,0.5,0.5,0.617647058824,0.616666666667
size_128_nwalks_5_walklen_70.emd,0.5,0.75,0.5,0.5,0.75,0.5,0.666666666667,0.666666666667,0.5,0.5,0.617647058824,0.583333333333
size_2_nwalks_1_walklen_10.emd,0.5,0.5,0.75,0.25,0.5,0.25,0.666666666667,1.0,0.5,0.5,0.617647058824,0.541666666667
size_8_nwalks_5_walklen_10.emd,0.5,0.5,0.5,0.5,0.5,0.5,0.666666666667,0.666666666667,0.5,0.5,0.529411764706,0.533333333333
size_8_nwalks_1_walklen_40.emd,0.5,0.5,0.5,0.5,0.5,0.5,0.666666666667,0.666666666667,0.5,0.5,0.529411764706,0.533333333333
size_8_nwalks_5_walklen_40.emd,0.5,0.5,0.5,0.5,0.5,0.5,0.666666666667,0.666666666667,0.5,0.5,0.529411764706,0.533333333333
size_8_nwalks_10_walklen_40.emd,0.5,0.5,0.5,0.5,0.5,0.5,0.666666666667,0.666666666667,0.5,0.5,0.529411764706,0.533333333333
