,size_8_nwalks_1_walklen_70.emd,size_8_nwalks_5_walklen_70.emd,size_32_nwalks_10_walklen_70.emd,size_32_nwalks_1_walklen_70.emd,size_8_nwalks_10_walklen_70.emd,size_32_nwalks_5_walklen_70.emd,size_128_nwalks_1_walklen_70.emd,size_128_nwalks_10_walklen_70.emd,size_128_nwalks_5_walklen_70.emd,size_2_nwalks_1_walklen_10.emd,size_8_nwalks_5_walklen_10.emd,size_8_nwalks_1_walklen_40.emd,size_8_nwalks_5_walklen_40.emd,size_8_nwalks_10_walklen_40.emd,size_8_nwalks_10_walklen_10.emd,size_32_nwalks_5_walklen_40.emd,size_32_nwalks_5_walklen_10.emd,size_32_nwalks_1_walklen_40.emd,size_32_nwalks_1_walklen_10.emd,size_128_nwalks_10_walklen_10.emd,size_32_nwalks_10_walklen_40.emd,size_128_nwalks_10_walklen_40.emd,size_2_nwalks_1_walklen_40.emd,size_128_nwalks_5_walklen_40.emd,size_128_nwalks_5_walklen_10.emd,size_128_nwalks_1_walklen_40.emd,size_128_nwalks_1_walklen_10.emd,size_32_nwalks_10_walklen_10.emd,size_2_nwalks_5_walklen_40.emd,size_2_nwalks_10_walklen_10.emd,size_8_nwalks_1_walklen_10.emd,size_2_nwalks_1_walklen_70.emd,size_2_nwalks_10_walklen_70.emd,size_2_nwalks_10_walklen_40.emd,size_2_nwalks_5_walklen_70.emd,size_2_nwalks_5_walklen_10.emd
size_8_nwalks_1_walklen_70.emd,0.0,0.843861722806,0.843861722806,0.521706927081,0.600762374685,0.397384538845,0.0743527477004,0.0613068423656,0.0198949612599,0.00846815040315,0.00091925298894,0.00091925298894,0.00091925298894,0.00091925298894,0.00091925298894,0.00091925298894,0.00091925298894,0.00091925298894,0.00091925298894,0.00091925298894,0.00091925298894,0.00091925298894,0.00091925298894,0.00091925298894,0.00091925298894,0.00091925298894,0.00091925298894,0.00091925298894,0.00187413416384,0.000118127988147,0.00187413416384,0.0110861012609,0.000267674768867,0.000267674768867,0.00244302355548,0.000327861466253
size_8_nwalks_5_walklen_70.emd,0.0,0.0,1.0,0.842076043379,0.343436396138,0.55290109733,0.193036541244,0.100319610091,0.0356278511706,0.0259758080599,0.00768793002772,0.00768793002772,0.00768793002772,0.00768793002772,0.00768793002772,0.00768793002772,0.00768793002772,0.00768793002772,0.00768793002772,0.00768793002772,0.00768793002772,0.00768793002772,0.00768793002772,0.00768793002772,0.00768793002772,0.00768793002772,0.00768793002772,0.00768793002772,0.00872385860217,0.00872385860217,0.00872385860217,0.0342018954536,0.00354330652645,0.01541391957,0.0301441274304,0.00648665703012
size_32_nwalks_10_walklen_70.emd,0.0,0.0,0.0,0.867195802031,0.797624520972,0.593003423065,0.124737555131,0.100319610091,0.0356278511706,0.0259758080599,0.00768793002772,0.00768793002772,0.00768793002772,0.00768793002772,0.00768793002772,0.00768793002772,0.00768793002772,0.00768793002772,0.00768793002772,0.00768793002772,0.00768793002772,0.00768793002772,0.00768793002772,0.00768793002772,0.00768793002772,0.00768793002772,0.00768793002772,0.00768793002772,0.00872385860217,0.00872385860217,0.00872385860217,0.0474512155923,0.00354330652645,0.00811902479539,0.0126155717113,0.00648665703012
size_32_nwalks_1_walklen_70.emd,0.0,0.0,0.0,0.0,0.916224157059,0.619300510038,0.142756190485,0.148408570954,0.0445035373056,0.0434810796731,0.00999068484976,0.00999068484976,0.00999068484976,0.00999068484976,0.00999068484976,0.00999068484976,0.00999068484976,0.00999068484976,0.00999068484976,0.00999068484976,0.00999068484976,0.00999068484976,0.00999068484976,0.00999068484976,0.00999068484976,0.00999068484976,0.00999068484976,0.00999068484976,0.00325886309953,0.00325886309953,0.00325886309953,0.0186873851424,0.000629036410156,0.00563967587832,0.0110861012609,0.000267674768867
size_8_nwalks_10_walklen_70.emd,0.0,0.0,0.0,0.0,0.0,0.685429281432,0.244511182084,0.124737555131,0.0417918007771,0.0327096985519,0.0086022057845,0.0086022057845,0.0086022057845,0.0086022057845,0.0086022057845,0.0086022057845,0.0086022057845,0.0086022057845,0.0086022057845,0.0086022057845,0.0086022057845,0.0086022057845,0.0086022057845,0.0086022057845,0.0086022057845,0.0086022057845,0.0086022057845,0.0086022057845,0.0111492500133,0.0111492500133,0.0111492500133,0.0450854512423,0.00493623821053,0.0209980169811,0.0398891889632,0.00922542945546
size_32_nwalks_5_walklen_70.emd,0.0,0.0,0.0,0.0,0.0,0.0,0.501705840618,0.286670444782,0.0521772427988,0.140735730803,0.0248463444407,0.0248463444407,0.0248463444407,0.0248463444407,0.0248463444407,0.0248463444407,0.0248463444407,0.0248463444407,0.0248463444407,0.0248463444407,0.0248463444407,0.0248463444407,0.0248463444407,0.0248463444407,0.0248463444407,0.0248463444407,0.0248463444407,0.0248463444407,0.00963228602239,0.00963228602239,0.00963228602239,0.00062997318997,0.00279416704455,0.0161107165319,0.0610637570821,0.0065657821108
size_128_nwalks_1_walklen_70.emd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.726314210889,0.398355146892,0.259786095042,0.0962503625116,0.0962503625116,0.0962503625116,0.0962503625116,0.0962503625116,0.0962503625116,0.0962503625116,0.0962503625116,0.0962503625116,0.0962503625116,0.0962503625116,0.0962503625116,0.0962503625116,0.0962503625116,0.0962503625116,0.0962503625116,0.0962503625116,0.0962503625116,0.0450854512423,0.105058153347,0.0450854512423,0.0985021270884,0.0285096716869,0.103888131062,0.168231919155,0.0484730721175
size_128_nwalks_10_walklen_70.emd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.605930768632,0.330509107754,0.0847852127872,0.0847852127872,0.0847852127872,0.0847852127872,0.0847852127872,0.0847852127872,0.0847852127872,0.0847852127872,0.0847852127872,0.0847852127872,0.0847852127872,0.0847852127872,0.0847852127872,0.0847852127872,0.0847852127872,0.0847852127872,0.0847852127872,0.0847852127872,0.0393221245108,0.12699334185,0.0393221245108,0.152851598031,0.0540062341638,0.11076492157,0.175650452138,0.0624690624787
size_128_nwalks_5_walklen_70.emd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.550521532481,0.167850656057,0.167850656057,0.167850656057,0.167850656057,0.167850656057,0.167850656057,0.167850656057,0.167850656057,0.167850656057,0.167850656057,0.167850656057,0.167850656057,0.167850656057,0.167850656057,0.167850656057,0.167850656057,0.167850656057,0.167850656057,0.0847852127872,0.0847852127872,0.0847852127872,0.13755793372,0.0164976983018,0.105058153347,0.227208949477,0.0332030108779
size_2_nwalks_1_walklen_10.emd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.888027864814,0.888027864814,0.888027864814,0.888027864814,0.888027864814,0.888027864814,0.888027864814,0.888027864814,0.888027864814,0.888027864814,0.888027864814,0.888027864814,0.888027864814,0.888027864814,0.888027864814,0.888027864814,0.888027864814,0.888027864814,0.626219181506,0.543696044664,0.626219181506,0.530008131884,0.325046249611,0.28792298649,0.416916240243,0.199908740783
size_8_nwalks_5_walklen_10.emd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.343436396138,0.343436396138,0.343436396138,0.417016276935,0.0841503080537,0.213960113174,0.357157253006,0.114939644348
size_8_nwalks_1_walklen_40.emd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.343436396138,0.343436396138,0.343436396138,0.417016276935,0.0841503080537,0.213960113174,0.357157253006,0.114939644348
size_8_nwalks_5_walklen_40.emd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.343436396138,0.343436396138,0.343436396138,0.417016276935,0.0841503080537,0.213960113174,0.357157253006,0.114939644348
