,hyperbolic,size_8_nwalks_10_walklen_70.emd,size_32_nwalks_5_walklen_70.emd,size_8_nwalks_5_walklen_70.emd,size_32_nwalks_1_walklen_70.emd,size_8_nwalks_1_walklen_70.emd,size_32_nwalks_10_walklen_70.emd,size_128_nwalks_5_walklen_70.emd,size_128_nwalks_1_walklen_70.emd,size_128_nwalks_10_walklen_70.emd,size_32_nwalks_1_walklen_40.emd,size_32_nwalks_5_walklen_10.emd,size_32_nwalks_5_walklen_40.emd,size_8_nwalks_1_walklen_10.emd,size_8_nwalks_10_walklen_10.emd,size_8_nwalks_10_walklen_40.emd,size_8_nwalks_1_walklen_40.emd,size_8_nwalks_5_walklen_10.emd,size_8_nwalks_5_walklen_40.emd,size_32_nwalks_1_walklen_10.emd,size_128_nwalks_10_walklen_10.emd,size_32_nwalks_10_walklen_40.emd,size_128_nwalks_10_walklen_40.emd,size_2_nwalks_1_walklen_40.emd,size_128_nwalks_5_walklen_40.emd,size_128_nwalks_5_walklen_10.emd,size_128_nwalks_1_walklen_10.emd,size_32_nwalks_10_walklen_10.emd,size_2_nwalks_10_walklen_70.emd,size_2_nwalks_10_walklen_40.emd,size_2_nwalks_10_walklen_10.emd,size_2_nwalks_5_walklen_40.emd,size_2_nwalks_5_walklen_10.emd,size_128_nwalks_1_walklen_40.emd,size_2_nwalks_5_walklen_70.emd,size_2_nwalks_1_walklen_10.emd,size_2_nwalks_1_walklen_70.emd
hyperbolic,0.0,0.222868350134,0.140452970878,0.152360339993,0.0885903953115,0.0248463444407,0.0714515629421,0.00213136044521,0.000591924522107,0.00693464831653,4.01296505712e-05,4.01296505712e-05,4.01296505712e-05,4.01296505712e-05,4.01296505712e-05,4.01296505712e-05,4.01296505712e-05,4.01296505712e-05,4.01296505712e-05,4.01296505712e-05,4.01296505712e-05,4.01296505712e-05,4.01296505712e-05,4.01296505712e-05,4.01296505712e-05,4.01296505712e-05,4.01296505712e-05,4.01296505712e-05,0.00127735045521,0.000101831465412,0.00030593129985,4.97175736471e-05,0.000667616753201,4.97175736471e-05,0.0011745670728,0.000140261635191,6.25078997923e-05
size_8_nwalks_10_walklen_70.emd,0.0,0.0,0.825172197266,0.591051231784,0.665289662777,0.63725208123,0.616682195394,0.0248463444407,0.0223671896806,0.00963228602239,0.00325886309953,0.00325886309953,0.00325886309953,0.00325886309953,0.00325886309953,0.00325886309953,0.00325886309953,0.00325886309953,0.00325886309953,0.00325886309953,0.00325886309953,0.00325886309953,0.00325886309953,0.00325886309953,0.00325886309953,0.00325886309953,0.00325886309953,0.00325886309953,0.000920122029984,0.000920122029984,0.00274454985852,0.00424151015801,0.0395266180816,0.00424151015801,0.000781471841075,0.00262326316844,0.000825204787781
size_32_nwalks_5_walklen_70.emd,0.0,0.0,0.0,0.888027864814,0.678309741806,0.726314210889,0.685429281432,0.100319610091,0.0224768133877,0.00835120989846,0.00303041971972,0.00303041971972,0.00303041971972,0.00303041971972,0.00303041971972,0.00303041971972,0.00303041971972,0.00303041971972,0.00303041971972,0.00303041971972,0.00303041971972,0.00303041971972,0.00303041971972,0.00303041971972,0.00303041971972,0.00303041971972,0.00303041971972,0.00303041971972,0.00279416704455,0.00279416704455,0.00632791500737,0.0046313620689,0.0317909281044,0.0046313620689,0.00424151015801,0.00493623821053,0.00354330652645
size_8_nwalks_5_walklen_70.emd,0.0,0.0,0.0,0.0,0.843861722806,0.857607101748,0.769874999892,0.111373246383,0.0445035373056,0.0224768133877,0.00878765291057,0.00878765291057,0.00878765291057,0.00878765291057,0.00878765291057,0.00878765291057,0.00878765291057,0.00878765291057,0.00878765291057,0.00878765291057,0.00878765291057,0.00878765291057,0.00878765291057,0.00878765291057,0.00878765291057,0.00878765291057,0.00878765291057,0.00878765291057,0.00325886309953,0.00325886309953,0.0130423807705,0.010101264461,0.0707750050545,0.010101264461,0.00274454985852,0.0065657821108,0.00262326316844
size_32_nwalks_1_walklen_70.emd,0.0,0.0,0.0,0.0,0.0,1.0,0.822654540827,0.124737555131,0.0224039125433,0.00587827548992,0.00272391187162,0.00272391187162,0.00272391187162,0.00272391187162,0.00272391187162,0.00272391187162,0.00272391187162,0.00272391187162,0.00272391187162,0.00272391187162,0.00272391187162,0.00272391187162,0.00272391187162,0.00272391187162,0.00272391187162,0.00272391187162,0.00272391187162,0.00272391187162,0.0432093198928,0.00303041971972,0.00768793002772,0.00561984629338,0.0417918007771,0.00561984629338,0.0161107165319,0.0110508461527,0.00493623821053
size_8_nwalks_1_walklen_70.emd,0.0,0.0,0.0,0.0,0.0,0.0,0.883200410443,0.0868422905454,0.0224039125433,0.0902673316079,0.00272391187162,0.00272391187162,0.00272391187162,0.00272391187162,0.00272391187162,0.00272391187162,0.00272391187162,0.00272391187162,0.00272391187162,0.00272391187162,0.00272391187162,0.00272391187162,0.00272391187162,0.00272391187162,0.00272391187162,0.00272391187162,0.00272391187162,0.00272391187162,0.00768793002772,0.00303041971972,0.00303041971972,0.00561984629338,0.00377155755871,0.00561984629338,0.0161107165319,0.0110508461527,0.00493623821053
size_32_nwalks_10_walklen_70.emd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26059215942,0.178424050398,0.051003260707,0.0223671896806,0.0223671896806,0.0223671896806,0.0223671896806,0.0223671896806,0.0223671896806,0.0223671896806,0.0223671896806,0.0223671896806,0.0223671896806,0.0223671896806,0.0223671896806,0.0223671896806,0.0223671896806,0.0223671896806,0.0223671896806,0.0223671896806,0.0223671896806,0.0946557058284,0.0293994607268,0.0542744134974,0.00878765291057,0.109394355267,0.00878765291057,0.0604983788001,0.00632791500737,0.000762064890724
size_128_nwalks_5_walklen_70.emd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.591051231784,0.657234674532,0.0847852127872,0.0847852127872,0.0847852127872,0.0847852127872,0.0847852127872,0.0847852127872,0.0847852127872,0.0847852127872,0.0847852127872,0.0847852127872,0.0847852127872,0.0847852127872,0.0847852127872,0.0847852127872,0.0847852127872,0.0847852127872,0.0847852127872,0.0847852127872,0.201494582662,0.0389898984299,0.0962503625116,0.12699334185,0.142756190485,0.12699334185,0.0487232332452,0.0946557058284,0.0332030108779
size_128_nwalks_1_walklen_70.emd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90591362413,0.17268508963,0.17268508963,0.17268508963,0.17268508963,0.17268508963,0.17268508963,0.17268508963,0.17268508963,0.17268508963,0.17268508963,0.17268508963,0.17268508963,0.17268508963,0.17268508963,0.17268508963,0.17268508963,0.17268508963,0.17268508963,0.358219595691,0.0847852127872,0.0847852127872,0.213960113174,0.286670444782,0.213960113174,0.0962503625116,0.156017676625,0.0946557058284
size_128_nwalks_10_walklen_70.emd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.343436396138,0.343436396138,0.343436396138,0.343436396138,0.343436396138,0.343436396138,0.343436396138,0.343436396138,0.343436396138,0.343436396138,0.343436396138,0.343436396138,0.343436396138,0.343436396138,0.343436396138,0.343436396138,0.343436396138,0.343436396138,0.393822814692,0.193422059603,0.278872999249,0.177267702506,0.501989079253,0.177267702506,0.259786095042,0.13755793372,0.0450854512423
